## These are comments,,,,,,,,,,,,,,,,,,
# Expecting the following format for each row,,,,,,,,,,,,,,,,,,
# Player,character,alt,character,alt,character,alt,character,alt,character,alt,character,alt,,,,,,
Nothigh,Loxodont,T_Lox_Lovers_Neutral_CSP,La Reina,T_Lar_Abyss_Red_CSP
Turnap,Ranno,T_Ran_Default_Summer_CSP,La Reina,T_Lar_Default_Blue_CSP
Thulium,Clairen,T_Cla_Elf_Red_CSP
The Glue,Loxodont,T_Lox_Default_Black_CSP
UniTy,Absa,T_Abs_Retro_Blue_CSP
SassyFlygon,Clairen,T_Cla_Default_Green_CSP
Bionicle,Maypul,T_May_Pirate_Neutral_CSP
JoshElChelito,Etalus,T_Eta_Primal_Green_CSP
Viviana,Loxodont,T_Lox_Lovers_White_CSP,Galvan,T_Gal_Genesis_Red_CSP,Kragg,T_Kra_Luchador_Neutral_CSP,La Reina,T_Lar_Evo_Blue_CSP,Zetterburn,T_Zet_Cheetah_Green_CSP,Clairen,T_Cla_Samurai_Red_CSP,Slade,T_Sla_Wobbegong_Green_CSP
Mask,Galvan,T_Gal_Default_Green_CSP,Forsburn,T_For_Retro_Neutral_CSP
Dr. Grin,Wrastor,T_Wra_Mecha_Midnight_CSP
Hockey,Zetterburn,T_Zet_Champion_Neutral_CSP
Ferrari77,Clairen,T_Cla_Mecha_Neutral_CSP
Waddlespch,Zetterburn,T_Zet_Excaliburn_Neutral_CSP
RubySoul,Forsburn,T_For_Default_Red_CSP
TekAjpu,Maypul,T_May_Mummy_Blue_CSP
Gordrack,Etalus,T_Eta_Retro_Green_CSP,Zetterburn,T_Zet_Excaliburn_Red_CSP
approx 7 moths,Loxodont,T_Lox_DarkFuture_Blue_CSP
RingWorm,Zetterburn,T_Zet_Default_Summer_CSP
Hamyojo,Olympia,T_Oly_LowPoly_Red_CSP
Speder6,Kragg,T_Kra_Salaryman_Neutral_CSP
Landon,Clairen,T_Cla_Leopard_Red_CSP
precisely 8 horses,Fleet,T_Fle_Abyss_Midnight_CSP
T4PJUMP3RR,Zetterburn,T_Zet_Santa_Blue_CSP
SmokedSam,Orcane,T_Orc_Abyss_Midnight_CSP
Nebulex,Loxodont,T_Lox_Chef_Red_CSP
Astrobeat,Absa,T_Abs_Retro_Blue_CSP
Unleashed,La Reina,T_Lar_Abyss_Blue_CSP
Lucent,Orcane,T_Orc_Retro_Neutral_CSP
Guren,Fleet,T_Fle_Sunny_Black_CSP
GirthwormJim,Forsburn,T_For_Wasteland_Blue_CSP
Turts,Zetterburn,T_Zet_Default_Purple_CSP
RachnerousBoyToy,La Reina,T_Lar_Evo_Red_CSP
RivalsRatGod,Olympia,T_Oly_Default_Neutral_CSP
MX Golli,Zetterburn,T_Zet_Panther_Neutral_CSP
Tacobros,Clairen,T_Cla_Champion_Neutral_CSP
Jugeeya,Fleet,T_Fle_Summer_Neutral_CSP
NatySolo,Orcane,T_Orc_Default_Brown_CSP
Rusy,Zetterburn,T_Zet_Flavorburn_Red_CSP,Galvan,T_Gal_Abyss_Midnight_CSP
OatmealTime,Zetterburn,T_Zet_Default_CoolBlue_CSP
mida,Clairen,T_Cla_Samurai_Green_CSP
Cy,Ranno,T_Ran_LowPoly_Blue_CSP
Faxmachine,Forsburn,T_For_Wasteland_Neutral_CSP
yasuo421,Galvan,T_Gal_Skink_Black_CSP
Joshua,Fleet,T_Fle_Default_Neutral_CSP
Rx,Clairen,T_Cla_Leopard_Neutral_CSP
Matthewnoid8,Orcane,T_Orc_Demigod_Blue_CSP
ThrowOut,Forsburn,T_For_Wasteland_Neutral_CSP
BlazingPasta,Galvan,T_Gal_Default_Green_CSP
Spypie,Fleet,T_Fle_Princess_Blue_CSP
Gab,La Reina,T_Lar_Abyss_Midnight_CSP
Rayne,Kragg,T_Kra_Abyss_Midnight_CSP
Coach Zeke,Etalus,T_Eta_Default_Green_CSP
Mr.Watch&Learn,Etalus,T_Eta_Default_Green_CSP
Toothbrush,Ranno,T_Ran_Default_Neutral_CSP
Lucius,Ranno,T_Ran_Default_Blue_CSP
Switch,Galvan,T_Gal_Default_Red_CSP
Windforce,Ranno,T_Ran_Default_Red_CSP
Hyperflame,Zetterburn,T_Zet_Default_Neutral_CSP
Nori,Absa,T_Abs_Witch_Neutral_CSP
AliceisAdjective,Maypul,T_May_Sylvan_Red_CSP
Alkali,Orcane,T_Orc_Abyss_Neutral_CSP
F4keNotR3al,Loxodont,T_Lox_Gardener_Blue_CSP
jees,Orcane,T_Orc_Prehistoric_CoolBlue_CSP
Entropy,Absa,T_Abs_Apprentice_Blue_CSP
Z_hime,Absa,T_Abs_BoerGoat_Neutral_CSP
Landkon2,Galvan,T_Gal_Yuletide_Green_CSP
Ana Hajarajanaan,Clairen,T_Cla_Pirate_Red_CSP
Nimbus,Slade,T_Sla_Default_Neutral_CSP,Fleet,T_Fle_Pajama_Neutral_CSP
Arbs,Kragg,T_Kra_Salaryman_Red_CSP
LittleBoi,Kragg,T_Kra_LowPoly_Blue_CSP
Goose,Ranno,T_Ran_Tuxedo_Neutral_CSP
ProZ,Maypul,T_May_Retro_Red_CSP
Geo,La Reina,T_Lar_Pajama_Blue_CSP
JGamer,Etalus,T_Eta_Champion_Blue_CSP
LemonCake,Orcane,T_Orc_RootBeerFloat_Green_CSP,Slade,T_Sla_Abyss_Blue_CSP,Clairen,T_Cla_RainyDay_Red_CSP
the problem causer,Orcane,T_Orc_Default_Brown_CSP
Ant,Ranno,T_Ran_Dart_Foil_CSP
MonkadZ,Forsburn,T_For_Ranger_Green_CSP
Fidel Ca$htro,Zetterburn,T_Zet_LowPoly_Red_CSP
Silly Goose 87,Slade,T_Sla_Lovers_Green_CSP
maya,Orcane,T_Orc_Demigod_Green_CSP
Teri,Olympia,T_Oly_Baker_Black_CSP
Env3lop,Wrastor,T_Wra_Puffin_Neutral_CSP
DrLobster,Kragg,T_Kra_Salaryman_Neutral_CSP
Triforce!,Forsburn,T_For_SmokeClan_Yellow_CSP
